name,release_date,developer,publisher,steamspy_tags,positive_ratings,negative_ratings,price
Police Quest: SWAT,15/12/2016,Yosemite Entertainment,Activision,"Strategy,Action,Simulation",11,12,479
SWAT 3: Tactical Game of the Year Edition,18/04/2017,Sierra,Activision,"Simulation,Action,Violent",71,53,699
MONOPOLY® PLUS,07/09/2017,Ubisoft Pune,Ubisoft,"Casual,Multiplayer,Board Game",528,719,1249
Pharaoh + Cleopatra,15/12/2016,Impressions Games,Activision,"Strategy,City Builder,Simulation",399,75,699
Return to Krondor,15/12/2016,PyroTechnix,Activision,"RPG,Fantasy,Classic",11,14,479
Zeus + Poseidon,15/12/2016,Impressions Games,Activision,"Strategy,City Builder,Classic",274,27,699
Spycraft: The Great Game,18/04/2017,Activision,Activision,"Adventure,FMV",6,1,479
Zork Anthology,18/04/2017,Infocom,Activision,"Adventure,Classic,Text-Based",10,3,479
Zork: Grand Inquisitor,18/04/2017,Activision,Activision,"Adventure,Point & Click",14,0,479
Zork Nemesis: The Forbidden Lands,18/04/2017,Zombie Studios,Activision,"Adventure,Nudity,Violent",8,2,479
Call to Power II,18/04/2017,Activision,Activision,"Strategy,Turn-Based Strategy",10,14,479
Golf for Workgroups,06/04/2017,Cryptic Sea,Devolver Digital,"Early Access,Simulation,Sports",47,6,399
Pikuniku,24/01/2019,"Arnaud De Bock,Rémi Forcadell,Alan Zucconi,Calum Bowen",Devolver Digital,"Indie,Casual,Action",244,17,1029
DRAGON QUEST HEROES™ II,25/04/2017,"Square Enix,KOEI TECMO GAMES CO., LTD.",Square Enix,"RPG,Action,JRPG",398,169,3999
I Hate Running Backwards,22/05/2018,"Binx Interactive,Croteam Incubator,Croteam",Devolver Digital,"Action,Indie,Difficult",94,12,1099
GORN,10/07/2017,Free Lives,Devolver Digital,"Early Access,Violent,VR",3357,124,1499
Assassin's Creed® Origins,26/10/2017,Ubisoft Montreal,Ubisoft,"Open World,Assassin,Action",31644,6007,4999
Artifact,28/11/2018,Valve,Valve,"Card Game,Trading Card Game,Strategy",9937,10501,1599
Sonic Mania,29/08/2017,"Christian Whitehead,Headcannon,PagodaWest Games",SEGA,"Great Soundtrack,2D,Platformer",8669,984,1499
