name,release_date,developer,publisher,steamspy_tags,positive_ratings,negative_ratings,price
Tom Clancy's Splinter Cell Chaos Theory®,27/08/2009,Ubisoft Montreal,Ubisoft,"Stealth,Action,Third Person",1777,140,859
Tom Clancy's Splinter Cell Double Agent®,13/02/2009,Ubisoft Montreal,Ubisoft,"Stealth,Action,Third Person",356,454,859
Prince of Persia®: The Sands of Time,27/08/2009,Kudosoft,Ubisoft,"Action,Adventure,Parkour",831,122,859
Tom Clancy's Ghost Recon® Desert Siege™,15/07/2008,Red Storm Entertainment,Ubisoft,"Action,FPS,Tactical",34,2,429
Tom Clancy's Rainbow Six Lockdown™,27/08/2009,Red Storm Entertainment,Ubisoft,"Action,FPS,Tactical",80,79,429
Rayman Raving Rabbids™,13/06/2008,"Ubisoft Bulgaria,Ubisoft Montpellier",Ubisoft,"Adventure,Action,Psychological Horror",239,80,429
Assassin's Creed™: Director's Cut Edition,09/04/2008,Ubisoft Montreal,Ubisoft,"Action,Adventure,Open World",5743,1162,859
Tom Clancy's Rainbow Six® Vegas 2,16/04/2008,Ubisoft Montreal,Ubisoft,"Action,Tactical,FPS",2582,456,859
Beyond Good and Evil™,13/05/2008,Ubisoft,Ubisoft,"Adventure,Female Protagonist,Action",1823,186,429
Petz® Horsez® 2,27/08/2009,Ubisoft,Ubisoft,"Simulation,Horses,Family Friendly",76,38,429
Heroes of Might & Magic V,13/05/2008,Nival,Ubisoft,"Strategy,Turn-Based Strategy,Fantasy",1258,183,859
Brothers in Arms: Road to Hill 30™,13/05/2008,Gearbox Software,Ubisoft,"Action,FPS,World War II",624,100,429
Silent Hunter®: Wolves of the Pacific,27/08/2009,Ubisoft Romania,Ubisoft,"Simulation,Submarine,World War II",234,128,859
Silent Hunter® III,13/06/2008,Ubisoft,Ubisoft,"Simulation,Naval,World War II",685,113,429
Silent Hunter®: Wolves of the Pacific U-Boat Missions,27/08/2009,Ubisoft Romania,Ubisoft,"Simulation,Submarine,World War II",70,24,429
Cold Fear™,13/05/2008,Darkworks,Ubisoft,"Horror,Action,Survival Horror",272,40,429
Tom Clancy's Ghost Recon®,15/07/2008,Red Storm Entertainment,Ubisoft,"Tactical,FPS,Action",536,45,859
Heroes of Might & Magic V: Tribes of the East,10/10/2008,Nival,Ubisoft,"Strategy,Turn-Based Strategy,Turn-Based",759,66,859
Heroes of Might & Magic V: Hammers of Fate,10/10/2008,Nival,Ubisoft,"Strategy,Turn-Based Strategy,Turn-Based",84,21,859
Brothers in Arms: Hell's Highway™,08/10/2008,Gearbox Software,Ubisoft,"Action,World War II,FPS",823,98,859
Crysis,17/09/2008,Crytek,Electronic Arts,"FPS,Action,Sci-fi",6075,1277,999
Crysis Warhead®,17/09/2008,Crytek,Electronic Arts,"Action,FPS,Sci-fi",1694,312,799
SPORE™,19/12/2008,Maxis™,Electronic Arts,"Simulation,Sandbox,Open World",15101,2014,1499
Mirror's Edge™,14/01/2009,DICE,Electronic Arts,"Parkour,First-Person,Action",17880,2341,999
Need for Speed Undercover,19/12/2008,EA Black Box,Electronic Arts,"Racing,Open World,Multiplayer",2351,1081,999
SPORE™ Creepy & Cute Parts Pack,19/12/2008,Maxis™,Electronic Arts,"Simulation,Adventure,Open World",481,100,999
Dragon Age: Origins,05/11/2009,BioWare,Electronic Arts,"RPG,Fantasy,Story Rich",6207,468,1499
Mass Effect,19/12/2008,BioWare,Electronic Arts,"RPG,Sci-fi,Story Rich",10107,666,799
Dead Space,09/01/2009,EA Redwood Shores,Electronic Arts,"Horror,Action,Sci-fi",9136,1049,1499
Command & Conquer: Red Alert 3,08/01/2009,EA Los Angeles,Electronic Arts,"Strategy,RTS,Base-Building",4390,855,999
DeathSpank,25/10/2010,Hothead Games,Electronic Arts,"RPG,Action,Indie",540,34,799
DeathSpank: Thongs of Virtue,30/11/2010,Hothead Games,Electronic Arts,"Action,RPG,Indie",125,18,799
Brothers in Arms: Earned in Blood™,10/10/2008,Gearbox Software,Ubisoft,"Action,FPS,World War II",303,53,429
Tom Clancy's Rainbow Six® 3 Gold,25/09/2008,"Red Storm Entertainment,Ubisoft Montreal",Ubisoft,"Tactical,FPS,Action",811,71,429
Far Cry® 2: Fortune's Edition,22/10/2008,Ubisoft Montreal,Ubisoft,"Open World,FPS,Action",5292,1739,859
Prince of Persia®,10/12/2008,Ubisoft Montreal,Ubisoft,"Action,Adventure,Platformer",948,266,859
Company of Heroes: Tales of Valor,08/04/2009,Relic Entertainment,SEGA,"Strategy,RTS,World War II",1337,101,999
Driver® Parallel Lines,13/02/2009,Ubisoft Reflections,Ubisoft,"Racing,Action,Open World",367,46,859
Tom Clancy's EndWar™,25/02/2009,Ubisoft  Shanghaï,Ubisoft,"Strategy,RTS,Tactical",276,108,859
Call of Juarez®: Bound in Blood,02/07/2009,Techland,Ubisoft,"Western,Action,FPS",1121,232,859
Rock of Ages,07/09/2011,ACE Team,SEGA,"Comedy,Indie,Strategy",2604,244,699
Worms Reloaded,26/08/2010,Team17 Digital Ltd,Team17 Digital Ltd,"Strategy,2D,Turn-Based",2478,430,1499
Alien Breed: Impact,03/06/2010,Team17 Software Ltd. ,Team17 Digital Ltd,"Action,Shooter,Sci-fi",776,307,699
Alien Breed 2: Assault,22/09/2010,Team17 Digital Ltd,Team17 Digital Ltd,"Action,Shooter,Isometric",478,226,699
Alien Breed 3: Descent,17/11/2010,Team17 Digital Ltd,Team17 Digital Ltd,"Action,Shooter,Third Person",242,90,699
Yosumin!™,26/05/2009,Square Enix,Square Enix,"Casual,Puzzle",102,64,399
Gyromancer,18/11/2009,"Square Enix,PopCap Games, Inc.",Square Enix,"RPG,Puzzle,Match 3",124,113,399
SPORE™ Galactic Adventures,26/06/2009,EA - Maxis,Electronic Arts,"Simulation,Action,Space",1943,453,999
Burnout Paradise: The Ultimate Box,12/03/2009,Criterion Games,Electronic Arts,"Racing,Open World,Multiplayer",9739,1487,999
Command & Conquer 3: Tiberium Wars,13/11/2009,EA Los Angeles,Electronic Arts,"Strategy,RTS,Base-Building",2292,295,999
Command & Conquer: Red Alert 3 - Uprising,06/10/2009,EA Los Angeles,Electronic Arts,"Strategy,RTS,Base-Building",1449,362,999
Command & Conquer 3: Kane's Wrath,13/11/2009,EA Los Angeles,Electronic Arts,"Strategy,RTS,Base-Building",1070,76,999
Medal of Honor: Airborne,06/10/2009,EA Los Angeles,Electronic Arts,"Action,World War II,FPS",1725,461,999
Need for Speed: Shift,06/10/2009,Slightly Mad Studios,Electronic Arts,"Racing,Simulation,Multiplayer",1101,415,999
Battlefield: Bad Company™ 2,02/03/2010,DICE,Electronic Arts,"FPS,Multiplayer,Action",23093,3877,1499
Mass Effect 2,28/01/2010,BioWare,Electronic Arts,"RPG,Sci-fi,Story Rich",10675,542,1999
Kane & Lynch 2: Dog Days,17/08/2010,IO Interactive,Square Enix,"Action,Co-op,Third-Person Shooter",2822,1919,799
Assassin's Creed 2 Deluxe Edition,04/03/2010,Ubisoft Montreal,Ubisoft,"Action,Open World,Adventure",14861,2639,859
Prince of Persia: The Forgotten Sands™,10/06/2010,Ubisoft Montreal,Ubisoft,"Action,Adventure,Platformer",511,263,859
Zeit²,12/01/2011,Brightside Games,Ubisoft,"Action,Indie,Shoot 'Em Up",26,7,859
From Dust,17/08/2011,Ubisoft Montpellier,Ubisoft,"God Game,Simulation,Adventure",1356,750,859
Alpha Protocol™,27/05/2010,Obsidian Entertainment,SEGA,"RPG,Stealth,Action",3113,785,999
Sonic & SEGA All-Stars Racing,03/03/2010,Sumo Digital,SEGA,"Racing,Local Multiplayer,Arcade",614,173,499
Order of War™,17/09/2009,Wargaming.net,Square Enix,"Strategy,World War II,RTS",270,98,599
Mini Ninjas,14/09/2009,IO Interactive,Square Enix,"Adventure,Action,Ninja",1612,270,799
Flora's Fruit Farm,01/10/2009,Honeyslug,Square Enix,"Casual,Agriculture",58,28,299
Lara Croft and the Guardian of Light,28/09/2010,Crystal Dynamics,Square Enix,"Action,Adventure,Co-op",2506,237,799
SEASON OF MYSTERY: The Cherry Blossom Murders,03/02/2010,SQUARE ENIX,Square Enix,"Casual,Hidden Object,Adventure",156,44,299
FINAL FANTASY VII,04/07/2013,Square Enix,Square Enix,"JRPG,RPG,Classic",11722,878,999
FINAL FANTASY VIII,05/12/2013,Square Enix,Square Enix,"JRPG,RPG,Classic",5323,682,999
Dungeon Siege,05/04/2011,Gas Powered Games,Square Enix,"RPG,Fantasy,Action RPG",1179,397,499
Dungeon Siege II,16/08/2005,Gas Powered Games,Square Enix,"RPG,Fantasy,Action RPG",813,343,499
FINAL FANTASY XIV Online,18/02/2014,Square Enix,Square Enix,"MMORPG,Massively Multiplayer,RPG",9808,2107,999
Supreme Commander 2,01/03/2010,Gas Powered Games,Square Enix,"Strategy,RTS,Sci-fi",5336,903,899
Serious Sam HD: The First Encounter,24/11/2009,Croteam,Devolver Digital,"FPS,Action,Co-op",3950,269,1099
Serious Sam 3: BFE,22/11/2011,Croteam,Devolver Digital,"FPS,Action,Co-op",15574,1977,2999
Singularity™,30/06/2010,Raven Software,Activision,"FPS,Action,Sci-fi",2766,227,1499
Call of Duty®: Black Ops,08/11/2010,Treyarch,Activision,"Action,FPS,Zombies",14201,1839,2999
Front Mission Evolved,07/10/2010,Double Helix Games,Square Enix,"Mechs,Action,Shooter",481,310,799
Command & Conquer 4: Tiberian Twilight,18/03/2010,EA Los Angeles,Electronic Arts,"Strategy,RTS,Multiplayer",378,1712,999
Dragon Age™: Origins Awakening,18/03/2010,BioWare,Electronic Arts,"RPG,Fantasy,Multiple Endings",92,7,999
Dead Space™ 2,27/01/2011,Visceral Games,Electronic Arts,"Horror,Action,Sci-fi",8943,493,1499
Medal of Honor™,12/10/2010,Electronic Arts,Electronic Arts,"FPS,Action,Shooter",3209,1370,1499
RISK™: Factions,08/03/2011,Stainless Games,Electronic Arts,"Strategy,Board Game,Multiplayer",405,214,799
Dragon Age: Origins - Ultimate Edition,29/10/2010,BioWare,Electronic Arts,"RPG,Fantasy,Story Rich",8808,726,1999
Need For Speed: Hot Pursuit,14/12/2010,Criterion Games,Electronic Arts,"Racing,Multiplayer,Open World",11405,2775,1499
The Sims™ 3,27/01/2011,The Sims Studio,Electronic Arts,"Simulation,Character Customization,Sandbox",11679,2493,2499
Shift 2 Unleashed,31/03/2011,Slightly Mad Studios,Electronic Arts,"Racing,Simulation,Driving",1071,629,1999
Silent Hunter 5®: Battle of the Atlantic,01/03/2010,Ubisoft Romania,Ubisoft,"Simulation,World War II,Naval",516,752,2599
Voodoo Dice,15/07/2010,Exkee,Ubisoft,"Casual,Puzzle",4,1,859
Assassin’s Creed® Brotherhood,17/03/2011,Ubisoft Montreal,Ubisoft,"Action,Adventure,Open World",6676,929,1249
Anno 2070™,17/11/2011,"Blue Byte,Related Designs",Ubisoft,"Strategy,City Builder,Simulation",5653,3686,1699
Warhammer 40000: Space Marine,08/09/2011,Relic,SEGA,"Warhammer 40K,Action,Third-Person Shooter",9847,998,1999
Might & Magic: Clash of Heroes,21/09/2011,Capybara Games,Ubisoft,"Strategy,Puzzle,RPG",1293,157,859
Worms Ultimate Mayhem,28/09/2011,Team17 Digital Ltd,Team17 Digital Ltd,"Strategy,Multiplayer,Funny",2188,323,1099
Worms Crazy Golf,19/10/2011,Team17 Digital Ltd,Team17 Digital Ltd,"Sports,Strategy,Golf",400,88,699
Worms,19/10/2011,Team17 Digital Ltd,Team17 Digital Ltd,"Strategy,Multiplayer,Turn-Based Strategy",319,53,499
Worms Blast,19/10/2011,Team17 Digital Ltd,Team17 Digital Ltd,"Casual,Strategy,Puzzle",102,101,559
Worms Pinball,19/10/2011,Team17 Digital Ltd,Team17 Digital Ltd,"Pinball,Casual,Arcade",140,184,559
Crazy Taxi,04/03/2011,SEGA,SEGA,"Racing,Action,Arcade",1240,273,559
SEGA Bass Fishing,04/03/2011,SEGA,SEGA,"Simulation,Sports,Fishing",325,62,559
Space Channel 5: Part 2,04/03/2011,SEGA,SEGA,"Rhythm,Action,Female Protagonist",687,89,559
Sonic Generations Collection,03/11/2011,Devil's Details,SEGA,"Platformer,Great Soundtrack,Action",6921,589,0
Renegade Ops,26/10/2011,Avalanche Studios,SEGA,"Action,Twin Stick Shooter,Top-Down",1773,297,999
Warp,21/03/2012,Trapdoor Inc.,Electronic Arts,"Action,Adventure,Indie",199,74,799
Crysis 2 - Maximum Edition,22/03/2011,Crytek Studios,Electronic Arts,"Action,FPS,Sci-fi",6724,1432,1999
L.A. Noire,08/11/2011,"Team Bondi,Rockstar Leeds",Rockstar Games,"Detective,Crime,Open World",14096,2315,1999
Prototype 2,26/07/2012,Radical Entertainment,Activision,"Action,Open World,Gore",5411,2244,1999
Quantum Conundrum,21/06/2012,Airtight Games,Square Enix,"Puzzle,First-Person,Comedy",1224,225,699
Worms Revolution,10/10/2012,Team17 Digital Ltd,Team17 Digital Ltd,"Strategy,Multiplayer,Funny",3922,686,1099
Serious Sam: The Random Encounter,24/10/2011,"Vlambeer,Croteam",Devolver Digital,"Action,Indie,RPG",330,310,399
Assassin's Creed® Revelations,30/11/2011,Ubisoft Montreal,Ubisoft,"Action,Open World,Parkour",5912,1055,1249
Scary Girl,09/04/2012,TikGames,Square Enix,"Action,Platformer,Female Protagonist",36,24,499
Call of Duty®: Black Ops II,12/11/2012,Treyarch,Activision,"Action,Multiplayer,FPS",25827,4658,3999
Sonic the Hedgehog 4 - Episode II,14/05/2012,SEGA,SEGA,"Adventure,Platformer,Co-op",663,206,599
Binary Domain,26/04/2012,Devil's Details,SEGA,"Action,Third-Person Shooter,Sci-fi",4416,742,999
Max Payne 3,31/05/2012,Rockstar Studios,Rockstar Games,"Action,Third-Person Shooter,Bullet Time",21581,4374,1499
Serious Sam 2,31/01/2012,Croteam,Devolver Digital,"Action,FPS,Co-op",5353,702,699
Rocksmith™,18/10/2012,Ubisoft - San Francisco,Ubisoft,"Music,Simulation,Education",869,80,2599
Hell Yeah! Wrath of the Dead Rabbit,03/10/2012,Arkedo,SEGA,"Platformer,Action,2D",2712,434,999
Jet Set Radio,19/09/2012,Blit Software,SEGA,"Great Soundtrack,Classic,Action",3398,631,559
Endless Space® - Collection,04/07/2012,AMPLITUDE Studios,SEGA,"Strategy,4X,Space",5708,1417,0
Call of Duty®: Ghosts,25/03/2014,Infinity Ward,Activision,"Dog,FPS,Action",14892,10757,3999
Call of Duty®: Advanced Warfare - Gold Edition,03/11/2014,"Sledgehammer Games,Raven Software",Activision,"Dog,FPS,Action",13389,8379,3999
Cloudberry Kingdom™,02/08/2013,Pwnee Studios,Ubisoft,"Indie,Platformer,Local Co-Op",174,17,859
Viking: Battle for Asgard,17/10/2012,Creative Assembly/PC Port - Hardlight,SEGA,"Action,Adventure,Hack and Slash",856,1013,999
Thief™ Gold,22/05/2012,Looking Glass Studios,Square Enix,"Stealth,Classic,First-Person",1649,148,499
Thief™ II: The Metal Age,22/05/2012,Looking Glass Studios,Square Enix,"Stealth,Classic,Steampunk",845,51,499
Conflict Desert Storm™,28/05/2012,Pivotal Games,Square Enix,"Action,Tactical,Third-Person Shooter",376,93,499
Tom Clancy's Ghost Recon: Future Soldier™,27/06/2012,"Ubisoft Paris,Red Storm Entertainment",Ubisoft,"Action,Stealth,Co-op",2178,1153,1249
Sonic Adventure 2,19/11/2012,SEGA,SEGA,"Action,Platformer,Great Soundtrack",4676,913,599
South Park™: The Stick of Truth™,06/03/2014,Obsidian Entertainment,Ubisoft,"RPG,Comedy,Adventure",35896,911,2599
I Am Alive,06/09/2012,Ubisoft  Shanghaï,Ubisoft,"Survival,Post-apocalyptic,Action",1361,701,1249
Total War™: ROME II - Emperor Edition,02/09/2013,CREATIVE ASSEMBLY,SEGA,"Strategy,Turn-Based Strategy,Historical",31864,13423,2999
Zeno Clash 2,30/04/2013,ACE Team,SEGA,"Action,Indie,Surreal",764,256,1099
Worms Armageddon,19/03/2013,Team17 Digital Ltd,Team17 Digital Ltd,"Strategy,Multiplayer,Classic",3517,231,1099
Hotline Miami,23/10/2012,Dennaton Games,Devolver Digital,"Great Soundtrack,Action,Violent",45809,1211,699
NiGHTS Into Dreams,17/12/2012,SEGA,SEGA,"Adventure,Classic,Great Soundtrack",553,79,559
Trials Evolution: Gold Edition,21/03/2013,"Redlynx Ltd,Ubisoft  Shanghaï",Ubisoft,"Racing,Action,Level Editor",1382,423,1699
Far Cry 3,28/11/2012,Ubisoft Montreal Massive Entertainment and Ubisoft Shanghai,Ubisoft,"Open World,FPS,Action",46331,5622,1699
Rocksmith® 2014 Edition - Remastered,04/10/2016,Ubisoft - San Francisco,Ubisoft,"Music,Education,Simulation",8228,789,2599
Legacy of Kain: Defiance,06/12/2012,Crystal Dynamics,Square Enix,"Action,Adventure,Story Rich",429,61,499
Legacy of Kain: Soul Reaver,06/12/2012,Crystal Dynamics,Square Enix,"Adventure,Action,Vampire",798,302,499
Legacy of Kain: Soul Reaver 2,06/12/2012,Crystal Dynamics,Square Enix,"Adventure,Action,Story Rich",288,107,499
Tomb Raider I,28/11/2012,Core Design,Square Enix,"Adventure,Action,Classic",1700,374,499
Tomb Raider IV: The Last Revelation,28/11/2012,Core Design,Square Enix,"Adventure,Action,Female Protagonist",422,64,499
Tomb Raider V: Chronicles,28/11/2012,Core Design,Square Enix,"Adventure,Action,Female Protagonist",232,77,499
Tomb Raider VI: The Angel of Darkness,28/11/2012,Core Design,Square Enix,"Action,Adventure,Lara Croft",349,262,499
Shadow Warrior Classic Redux,08/07/2013,General Arcade,Devolver Digital,"FPS,Classic,Action",1789,151,699
Tomb Raider II,28/11/2012,Core Design,Square Enix,"Adventure,Action,Female Protagonist",805,115,499
Tomb Raider III,28/11/2012,Core Design,Square Enix,"Adventure,Action,Female Protagonist",468,97,499
Just Cause™ 3,30/11/2015,Avalanche Studios,Square Enix,"Open World,Action,Destruction",37747,14024,1199
Serious Sam Classics: Revolution,30/04/2014,"Croteam,Alligator Pit",Devolver Digital,"Early Access,Action,FPS",1339,165,799
Company of Heroes,11/09/2006,Relic Entertainment,SEGA,"Strategy,World War II,RTS",2526,287,0
TrackMania² Canyon,27/02/2013,Nadeo,Ubisoft,"Racing,Multiplayer,Level Editor",1065,259,1699
Dungeon Hearts,28/03/2013,Cube Roots,Devolver Digital,"Casual,Indie,Strategy",319,178,199
A Fistful of Gun,23/09/2015,FarmerGnome,Devolver Digital,"Action,Indie,Western",284,136,999
ShootMania Storm,10/04/2013,Nadeo,Ubisoft,"Action,FPS,Multiplayer",648,101,1699
TrackMania² Stadium,20/06/2013,Nadeo,Ubisoft,"Racing,Multiplayer,Level Editor",2915,571,859
Shadow Warrior,26/09/2013,Flying Wild Hog,Devolver Digital,"Action,FPS,Swordplay",18716,1426,2999
LUFTRAUSERS,18/03/2014,Vlambeer,Devolver Digital,"Indie,Arcade,Action",3180,302,699
Far Cry 3 - Blood Dragon,01/05/2013,Ubisoft Montreal,Ubisoft,"FPS,1980s,Comedy",9282,1257,1249
Murdered: Soul Suspect,05/06/2014,Airtight Games,Square Enix,"Detective,Adventure,Horror",8658,1647,1999
Worms Clan Wars,15/08/2013,Team17 Digital Ltd,Team17 Digital Ltd,"Strategy,Multiplayer,Turn-Based",1730,556,1899
Castlevania: Lords of Shadow – Ultimate Edition,27/08/2013,MercurySteam - Climax Studios,Konami Digital Entertainment,"Action,Adventure,Hack and Slash",3827,953,1999
METAL GEAR RISING: REVENGEANCE,09/01/2014,PlatinumGames,Konami Digital Entertainment,"Great Soundtrack,Action,Hack and Slash",13722,1157,1999
Tom Clancy’s Splinter Cell Blacklist,23/08/2013,Ubisoft Toronto,Ubisoft,"Stealth,Action,Co-op",10016,1982,1699
Might & Magic X - Legacy,23/01/2014,Ubisoft,Ubisoft,"RPG,Turn-Based,Fantasy",1571,780,2099
FINAL FANTASY III,27/05/2014,Square Enix,Square Enix,"JRPG,RPG,Turn-Based",1029,250,1099
Castlevania: Lords of Shadow 2,25/02/2014,MercurySteam,Konami Digital Entertainment,"Action,Adventure,Vampire",2390,479,2499
The Crew™,19/12/2014,Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,"Racing,Open World,Multiplayer",9479,4636,2599
Assassin’s Creed® IV Black Flag™,19/11/2013,Ubisoft Montreal,Ubisoft,"Pirates,Open World,Action",23904,3362,1699
Omikron: The Nomad Soul,26/09/2013,Quantic Dream,Square Enix,"RPG,Cyberpunk,Great Soundtrack",234,97,699
TrackMania² Valley,04/07/2013,Nadeo,Ubisoft,"Racing,Sports,Multiplayer",282,80,1699
Watch_Dogs™,26/05/2014,Ubisoft,Ubisoft,"Open World,Hacking,Action",15159,7383,2599
Foul Play,18/09/2013,"Mediatonic:The Irregular Corporation",Devolver Digital,"Beat 'em up,Action,Indie",493,107,999
Trials Fusion™,24/04/2014,RedLynx in collaboration with  Ubisoft Shanghai and Ubisoft Kiev,Ubisoft,"Racing,Multiplayer,Singleplayer",1141,615,1699
The Typing of The Dead: Overkill,29/10/2013,Modern Dream,SEGA,"Typing,On-Rails Shooter,Zombies",2280,347,1499
Dungeon of the Endless™,27/10/2014,AMPLITUDE Studios,SEGA,"Rogue-like,Strategy,Tower Defense",7423,1046,899
Abyss Odyssey,15/07/2014,ACE Team,SEGA,"Action,Platformer,Indie",1349,816,1099
Child of Light,29/04/2014,Ubisoft Montréal,Ubisoft,"RPG,Fantasy,Great Soundtrack",9980,747,1249
Deus Ex: The Fall,17/03/2014,Square Enix,Square Enix,"Cyberpunk,RPG,Action",990,2101,799
Citizens of Earth,20/01/2015,Eden Industries,SEGA,"RPG,Comedy,Turn-Based",241,69,999
Just Cause 2: Multiplayer Mod,16/12/2013,Avalanche Studios,Square Enix,"Open World,Multiplayer,Action",12261,1099,0
Marc Eckō's Getting Up: Contents Under Pressure,13/12/2013,"The Collective General Arcade",Devolver Digital,"Action,Adventure,Parkour",778,71,1199
Assassin’s Creed® Liberation HD,15/01/2014,Ubisoft Sofia,Ubisoft,"Action,Open World,Female Protagonist",952,698,1699
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,25/06/2014,Ubisoft Montpellier,Ubisoft,"Atmospheric,Historical,World War I",15650,709,1249
Flockers™,19/09/2014,Team17 Digital Ltd,Team17 Digital Ltd,"Lemmings,Indie,Strategy",122,39,1499
Tesla Effect: A Tex Murphy Adventure,08/05/2014,Big Finish Games,SEGA,"Adventure,FMV,Detective",865,121,1499
Rollers of the Realm,18/11/2014,Phantom Compass,SEGA,"Pinball,RPG,Puzzle",442,48,699
Worms World Party Remastered,16/07/2015,Team17 Digital Ltd,Team17 Digital Ltd,"Strategy,Action,Indie",329,304,1099
Grand Theft Auto V,13/04/2015,Rockstar North,Rockstar Games,"Open World,Action,Multiplayer",329061,139308,2499
Light,14/07/2014,Just A Pixel Ltd.,Team17 Digital Ltd,"Indie,Action,Strategy",192,138,999
Serious Sam's Bogus Detour,20/06/2017,"Crackshell/Croteam",Devolver Digital,"Action,Indie,Gore",223,39,1099
Hotline Miami 2: Wrong Number,10/03/2015,Dennaton Games,Devolver Digital,"Great Soundtrack,Gore,Pixel Graphics",21838,1933,1199
Broforce,15/10/2015,Free Lives,Devolver Digital,"America,Action,Pixel Graphics",31033,1059,1199
RONIN,30/06/2015,Tomasz Wacławek,Devolver Digital,"Indie,Action,Turn-Based",1159,519,999
OlliOlli,22/07/2014,"Roll7,General Arcade",Devolver Digital,"Skateboarding,Indie,Sports",596,156,999
NOT A HERO,14/05/2015,Roll7,Devolver Digital,"Action,Indie,Pixel Graphics",1527,221,999
Gods Will Be Watching,24/07/2014,Deconstructeam,Devolver Digital,"Indie,Pixel Graphics,Point & Click",1630,659,699
Always Sometimes Monsters,21/05/2014,Vagabond Dog,Devolver Digital,"RPGMaker,Indie,RPG",1684,550,699
Dropsy,10/09/2015,"Tendershoot,A Jolly Corpse",Devolver Digital,"Adventure,Point & Click,Indie",1158,80,699
Warhammer 40000: Kill Team,22/05/2014,Nomad Games,SEGA,"Action,Warhammer 40K,Local Co-Op",466,389,699
Assassin's Creed Freedom Cry,25/02/2014,Ubisoft Montreal,Ubisoft,"Action,Adventure,Assassin",853,293,1249
LA Cops,13/03/2015,Modern Dream,Team17 Digital Ltd,"Action,Strategy,Indie",81,64,1099
Castlevania: Lords of Shadow – Mirror of Fate HD,27/03/2014,MercurySteam,Konami Digital Entertainment,"Action,Adventure,Metroidvania",836,186,999
METAL GEAR SOLID V: THE PHANTOM PAIN,01/09/2015,Konami Digital Entertainment,Konami Digital Entertainment,"Stealth,Open World,Story Rich",38643,4954,2499
Endless Legend™,18/09/2014,AMPLITUDE Studios,SEGA,"Strategy,Turn-Based,4X",10015,2107,2299
Assassin's Creed® Unity,19/12/2014,Ubisoft,Ubisoft,"Open World,Parkour,Assassin",12350,7354,2599
LARA CROFT AND THE TEMPLE OF OSIRIS™,08/12/2014,Crystal Dynamics,Square Enix,"Adventure,Co-op,Action",696,538,1499
Brawlhalla,17/10/2017,Blue Mammoth Games,Ubisoft,"Free to Play,Multiplayer,Fighting",73268,14489,0
FINAL FANTASY® XIII,09/10/2014,Square Enix,Square Enix,"JRPG,Linear,RPG",7016,2769,1099
FINAL FANTASY® XIII-2,11/12/2014,Square Enix,Square Enix,"JRPG,RPG,Fantasy",1843,1199,1299
Call of Duty®: Infinite Warfare,03/11/2016,Infinity Ward,Activision,"Action,FPS,Multiplayer",7821,10570,3999
Valkyria Chronicles™,11/11/2014,SEGA,SEGA,"Anime,Strategy,Turn-Based",8862,838,1499
Schrödinger’s Cat And The Raiders Of The Lost Quark,23/09/2014,Italic Pig,Team17 Digital Ltd,"Action,Adventure,Platformer",84,39,699
Cosmic DJ,30/10/2014,Gl33k,Devolver Digital,"Casual,Indie,Music",920,127,199
Heavy Bullets,18/09/2014,Terri Vellmann,Devolver Digital,"Indie,Action,FPS",951,185,699
Titan Souls,14/04/2015,Acid Nerve,Devolver Digital,"Pixel Graphics,Difficult,Adventure",3556,981,1099
Overruled!,15/09/2015,Dlala Studios,Team17 Digital Ltd,"Action,Indie,Multiplayer",33,24,999
Far Cry® 4,01/12/2014,Ubisoft Montreal/Red Storm/Shanghai/Toronto/Kiev,Ubisoft,"Open World,Action,FPS",17082,4740,2599
The Escapists,13/02/2015,Mouldy Toof Studios,Team17 Digital Ltd,"Pixel Graphics,Strategy,Crafting",11629,1432,1299
Total War Battles: KINGDOM,09/04/2015,CREATIVE ASSEMBLY,SEGA,"Strategy,Free to Play,Medieval",1692,1646,0
Eastside Hockey Manager,01/12/2015,Sports Interactive,SEGA,"Hockey,Sports,Simulation",723,137,1499
FOR HONOR™,13/02/2017,"Ubisoft Montreal,Ubisoft Quebec,Ubisoft Toronto,Blue Byte",Ubisoft,"Medieval,Action,Swordplay",34790,25920,1249
Penarium,22/09/2015,Self Made Miracle,Team17 Digital Ltd,"Indie,Action,Platformer",248,48,699
Black The Fall,11/07/2017,Sand Sailor Studio,Square Enix,"Indie,Adventure,Action",623,190,1099
Hatoful Boyfriend,04/09/2014,"Mediatonic,Hato Moa,The Irregular Corporation",Devolver Digital,"Visual Novel,Anime,Dating Sim",5235,328,699
METAL GEAR SOLID V: GROUND ZEROES,18/12/2014,Kojima Productions,Konami Digital Entertainment,"Stealth,Action,Short",7953,1692,1699
Assassin’s Creed® Rogue,09/03/2015,"Ubisoft Sofia,Ubisoft Kiev",Ubisoft,"Open World,Assassin,Action",4303,992,1699
Enter the Gungeon,05/04/2016,Dodge Roll,Devolver Digital,"Bullet Hell,Pixel Graphics,Rogue-like",24947,1573,1099
FINAL FANTASY IV,17/09/2014,"Square Enix,DotEmu SAS.",Square Enix,"RPG,JRPG,Fantasy",877,183,1099
The Expendabros,05/08/2014,Free Lives,Devolver Digital,"Free to Play,Action,Multiplayer",15084,425,0
